record_id,nli_actor_index,nli_opinion_index,nli_chunk_index,nli_actor_name,nli_opinion,match_method,occurrences,actor_turn_occurrences,transcript_start,transcript_end,matched_text,speaker_name,turn_start,turn_end,turn_attribution_verified
3,1,0,2,Luiz Marinho,O Ministério do Trabalho está sendo reconstruído após ser extinto no governo anterior.,NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,0,3,Luiz Marinho,O Ministério do Trabalho está sendo reconstruído após ser extinto no governo anterior.,NO_MATCH,0,0,,,,,,,unknown
3,1,1,0,Luiz Marinho,"Estão em curso concursos para recomposição da força de trabalho, incluindo 900 vagas para auditores.",NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,1,1,Luiz Marinho,"Estão em curso concursos para recomposição da força de trabalho, incluindo 900 vagas para auditores.",NO_MATCH,0,0,,,,,,,unknown
3,1,1,2,Luiz Marinho,"Estão em curso concursos para recomposição da força de trabalho, incluindo 900 vagas para auditores.",NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,1,3,Luiz Marinho,"Estão em curso concursos para recomposição da força de trabalho, incluindo 900 vagas para auditores.",NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,2,0,Luiz Marinho,Importância da FUNDACENTRO para estudar as condições de trabalho e propor melhorias.,NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,2,1,Luiz Marinho,Importância da FUNDACENTRO para estudar as condições de trabalho e propor melhorias.,NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,2,2,Luiz Marinho,Importância da FUNDACENTRO para estudar as condições de trabalho e propor melhorias.,NO_MATCH,0,0,,,,,,,unknown
3,1,2,3,Luiz Marinho,Importância da FUNDACENTRO para estudar as condições de trabalho e propor melhorias.,NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,3,0,Luiz Marinho,O combate ao trabalho precário e análogo à escravidão é uma missão principal.,EXACT_MATCH,1,0,,,,,,,unknown
3,1,3,1,Luiz Marinho,O combate ao trabalho precário e análogo à escravidão é uma missão principal.,NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,3,2,Luiz Marinho,O combate ao trabalho precário e análogo à escravidão é uma missão principal.,NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,3,3,Luiz Marinho,O combate ao trabalho precário e análogo à escravidão é uma missão principal.,NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,4,0,Luiz Marinho,Necessidade de dialogar com empresas para garantir boas condições de trabalho e evitar multas.,NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,4,1,Luiz Marinho,Necessidade de dialogar com empresas para garantir boas condições de trabalho e evitar multas.,NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,4,2,Luiz Marinho,Necessidade de dialogar com empresas para garantir boas condições de trabalho e evitar multas.,EXACT_MATCH,1,0,,,,,,,unknown
3,1,4,3,Luiz Marinho,Necessidade de dialogar com empresas para garantir boas condições de trabalho e evitar multas.,NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,5,0,Luiz Marinho,"Dados sobre geração de empregos e rotatividade: em 2023 foram gerados 1,5 milhão de empregos, mas houve alta rotatividade de 22 milhões.",NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,5,1,Luiz Marinho,"Dados sobre geração de empregos e rotatividade: em 2023 foram gerados 1,5 milhão de empregos, mas houve alta rotatividade de 22 milhões.",EXACT_MATCH,1,0,,,,,,,unknown
3,1,5,2,Luiz Marinho,"Dados sobre geração de empregos e rotatividade: em 2023 foram gerados 1,5 milhão de empregos, mas houve alta rotatividade de 22 milhões.",NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,5,3,Luiz Marinho,"Dados sobre geração de empregos e rotatividade: em 2023 foram gerados 1,5 milhão de empregos, mas houve alta rotatividade de 22 milhões.",NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,6,0,Luiz Marinho,Necessidade de aumentar a massa salarial e o poder de compra dos salários.,EXACT_MATCH,1,0,,,,,,,unknown
3,1,6,1,Luiz Marinho,Necessidade de aumentar a massa salarial e o poder de compra dos salários.,NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,6,2,Luiz Marinho,Necessidade de aumentar a massa salarial e o poder de compra dos salários.,NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,6,3,Luiz Marinho,Necessidade de aumentar a massa salarial e o poder de compra dos salários.,NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,7,0,Luiz Marinho,"Política de valorização do salário mínimo retomada, influenciando positivamente na massa salarial.",NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,7,1,Luiz Marinho,"Política de valorização do salário mínimo retomada, influenciando positivamente na massa salarial.",NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,7,2,Luiz Marinho,"Política de valorização do salário mínimo retomada, influenciando positivamente na massa salarial.",NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,7,3,Luiz Marinho,"Política de valorização do salário mínimo retomada, influenciando positivamente na massa salarial.",NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,8,0,Luiz Marinho,"Medidas para proteção do trabalhador, como a manutenção do benefício do Bolsa Família em casos de contratos sazonais.",EXACT_MATCH,1,0,,,,,,,unknown
3,1,8,1,Luiz Marinho,"Medidas para proteção do trabalhador, como a manutenção do benefício do Bolsa Família em casos de contratos sazonais.",NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,8,2,Luiz Marinho,"Medidas para proteção do trabalhador, como a manutenção do benefício do Bolsa Família em casos de contratos sazonais.",NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,8,3,Luiz Marinho,"Medidas para proteção do trabalhador, como a manutenção do benefício do Bolsa Família em casos de contratos sazonais.",NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,9,0,Luiz Marinho,"Críticas ao Saque-Aniversário do FGTS, que cria distorções para trabalhadores e diminui a capacidade de investimento do fundo.",NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,9,1,Luiz Marinho,"Críticas ao Saque-Aniversário do FGTS, que cria distorções para trabalhadores e diminui a capacidade de investimento do fundo.",NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,9,2,Luiz Marinho,"Críticas ao Saque-Aniversário do FGTS, que cria distorções para trabalhadores e diminui a capacidade de investimento do fundo.",NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,9,3,Luiz Marinho,"Críticas ao Saque-Aniversário do FGTS, que cria distorções para trabalhadores e diminui a capacidade de investimento do fundo.",NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,10,0,Luiz Marinho,Proposta de oferecer alternativas de crédito mais baratas via eSocial para substituir o Saque-Aniversário.,EXACT_MATCH,1,0,,,,,,,unknown
3,1,10,1,Luiz Marinho,Proposta de oferecer alternativas de crédito mais baratas via eSocial para substituir o Saque-Aniversário.,NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,10,2,Luiz Marinho,Proposta de oferecer alternativas de crédito mais baratas via eSocial para substituir o Saque-Aniversário.,EXACT_MATCH,1,0,,,,,,,unknown
3,1,10,3,Luiz Marinho,Proposta de oferecer alternativas de crédito mais baratas via eSocial para substituir o Saque-Aniversário.,NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,11,0,Luiz Marinho,"Trabalho conjunto com empresas de aplicativos para regulamentar a categoria, garantindo direitos sem impor o regime da CLT.",NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,11,1,Luiz Marinho,"Trabalho conjunto com empresas de aplicativos para regulamentar a categoria, garantindo direitos sem impor o regime da CLT.",NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,11,2,Luiz Marinho,"Trabalho conjunto com empresas de aplicativos para regulamentar a categoria, garantindo direitos sem impor o regime da CLT.",NORMALIZED_EXACT_MATCH,1,0,,,,,,,unknown
3,1,11,3,Luiz Marinho,"Trabalho conjunto com empresas de aplicativos para regulamentar a categoria, garantindo direitos sem impor o regime da CLT.",NO_MATCH,0,0,,,,,,,unknown
3,2,0,0,Capitão Alberto Neto,"Críticas ao fim do Saque-Aniversário, argumentando que beneficia os trabalhadores.",NORMALIZED_EXACT_MATCH,1,1,35792,36278,"Eu diria, conversando com os trabalhadores do meu País, que seria cruel e até maligno o fim do Saque-Aniversário, que é como se fosse o 14º salário do trabalhador. Eu não estou falando nem de empréstimo, eu estou falando do dinheiro que ele pode sacar.

O senhor mesmo falou nas suas palavras aqui que o dinheiro é dele, o dinheiro não pertence ao Governo. Inclusive, o Governo trata muito mal o dinheiro; o rendimento do FGTS é pífio em relação a outros rendimentos. O dinheiro é dele.",CAPITÃO ALBERTO NETO,35621,38416,true
3,2,0,1,Capitão Alberto Neto,"Críticas ao fim do Saque-Aniversário, argumentando que beneficia os trabalhadores.",NORMALIZED_EXACT_MATCH,1,1,36260,36755,"O dinheiro é dele.

Então, não se justifica tirar a oportunidade do trabalhador de ter o Saque-Aniversário somente porque foi criado no Governo Bolsonaro. Eu sei que em 2020, quando ele foi criado, 34,5 milhões de trabalhadores já o utilizaram. Eu não sei quantas mensagens o senhor recebeu reclamando do Saque-Aniversário, mas eu lhe afirmo que não foram 34 milhões, fica longe disso.

Desses 34,5 milhões, nós conseguimos colocar na economia 75 bilhões de reais — dinheiro na veia da economia.",CAPITÃO ALBERTO NETO,35621,38416,true
3,2,0,2,Capitão Alberto Neto,"Críticas ao fim do Saque-Aniversário, argumentando que beneficia os trabalhadores.",NORMALIZED_EXACT_MATCH,1,1,36967,37730,"O trabalhador tem a oportunidade, em vez de pagar uma dívida com juros altíssimos — porque geralmente o trabalhador está negativado, e, nessas situações, os juros de algumas instituições financeiras chegam até 20%, de maneira cruel, pior do que agiotas — de receber o Saque-Aniversário, que é dele, lembro isso, e pagar uma dívida, comprar material escolar, comprar uma geladeira, não sei. O dinheiro é dele, ele tem que saber como gastar, e ele saberá como gastar.

Se há algumas pessoas que gastaram de maneira errada, nós não podemos punir 34,5 milhões de pessoas que já o utilizaram e vão continuar utilizando.

O senhor falou sobre o FGTS. Temos que trazer este número para que a população saiba que o FGTS não está sendo prejudicado com o Saque-Aniversário.",CAPITÃO ALBERTO NETO,35621,38416,true
3,2,0,3,Capitão Alberto Neto,"Críticas ao fim do Saque-Aniversário, argumentando que beneficia os trabalhadores.",NORMALIZED_EXACT_MATCH,1,1,40028,40481,"Deixo aqui o meu apelo para que o senhor abandone este projeto de acabar com o Saque-Aniversário. Para aprimorar o projeto, o senhor pode contar comigo. Acabar com o Saque-Aniversário é uma crueldade com os trabalhadores do nosso País.

Sobre o projeto, o senhor disse que ele não tem nada a ver com arrecadação, mas o projeto taxa o trabalhador, o projeto taxa os aplicativos. Lembro que, no aplicativo, é o motorista quem cuida de todo o negócio dele.",CAPITÃO ALBERTO NETO,38536,45256,true
3,2,1,0,Capitão Alberto Neto,Afirma que o Saque-Aniversário injeta dinheiro na economia e ajuda trabalhadores a pagar dívidas.,NORMALIZED_EXACT_MATCH,1,1,36967,37730,"O trabalhador tem a oportunidade, em vez de pagar uma dívida com juros altíssimos — porque geralmente o trabalhador está negativado, e, nessas situações, os juros de algumas instituições financeiras chegam até 20%, de maneira cruel, pior do que agiotas — de receber o Saque-Aniversário, que é dele, lembro isso, e pagar uma dívida, comprar material escolar, comprar uma geladeira, não sei. O dinheiro é dele, ele tem que saber como gastar, e ele saberá como gastar.

Se há algumas pessoas que gastaram de maneira errada, nós não podemos punir 34,5 milhões de pessoas que já o utilizaram e vão continuar utilizando.

O senhor falou sobre o FGTS. Temos que trazer este número para que a população saiba que o FGTS não está sendo prejudicado com o Saque-Aniversário.",CAPITÃO ALBERTO NETO,35621,38416,true
3,2,1,1,Capitão Alberto Neto,Afirma que o Saque-Aniversário injeta dinheiro na economia e ajuda trabalhadores a pagar dívidas.,NORMALIZED_EXACT_MATCH,1,1,36260,36755,"O dinheiro é dele.

Então, não se justifica tirar a oportunidade do trabalhador de ter o Saque-Aniversário somente porque foi criado no Governo Bolsonaro. Eu sei que em 2020, quando ele foi criado, 34,5 milhões de trabalhadores já o utilizaram. Eu não sei quantas mensagens o senhor recebeu reclamando do Saque-Aniversário, mas eu lhe afirmo que não foram 34 milhões, fica longe disso.

Desses 34,5 milhões, nós conseguimos colocar na economia 75 bilhões de reais — dinheiro na veia da economia.",CAPITÃO ALBERTO NETO,35621,38416,true
3,2,1,2,Capitão Alberto Neto,Afirma que o Saque-Aniversário injeta dinheiro na economia e ajuda trabalhadores a pagar dívidas.,NORMALIZED_EXACT_MATCH,1,1,35792,36278,"Eu diria, conversando com os trabalhadores do meu País, que seria cruel e até maligno o fim do Saque-Aniversário, que é como se fosse o 14º salário do trabalhador. Eu não estou falando nem de empréstimo, eu estou falando do dinheiro que ele pode sacar.

O senhor mesmo falou nas suas palavras aqui que o dinheiro é dele, o dinheiro não pertence ao Governo. Inclusive, o Governo trata muito mal o dinheiro; o rendimento do FGTS é pífio em relação a outros rendimentos. O dinheiro é dele.",CAPITÃO ALBERTO NETO,35621,38416,true
3,2,1,3,Capitão Alberto Neto,Afirma que o Saque-Aniversário injeta dinheiro na economia e ajuda trabalhadores a pagar dívidas.,NORMALIZED_EXACT_MATCH,1,1,36647,37356,"Desses 34,5 milhões, nós conseguimos colocar na economia 75 bilhões de reais — dinheiro na veia da economia. Dos trabalhadores que pegam esse dinheiro, e já temos uma pesquisa sobre como ele o gasta, 57% o usam para pagar dívidas.

Todo mundo tem dívida. Esta é a vida real, Ministro, todo mundo tem dívida para pagar.

O trabalhador tem a oportunidade, em vez de pagar uma dívida com juros altíssimos — porque geralmente o trabalhador está negativado, e, nessas situações, os juros de algumas instituições financeiras chegam até 20%, de maneira cruel, pior do que agiotas — de receber o Saque-Aniversário, que é dele, lembro isso, e pagar uma dívida, comprar material escolar, comprar uma geladeira, não sei.",CAPITÃO ALBERTO NETO,35621,38416,true
3,2,2,0,Capitão Alberto Neto,"Apoio à melhoria do projeto, mas contra a sua extinção.",NORMALIZED_EXACT_MATCH,1,1,40028,40481,"Deixo aqui o meu apelo para que o senhor abandone este projeto de acabar com o Saque-Aniversário. Para aprimorar o projeto, o senhor pode contar comigo. Acabar com o Saque-Aniversário é uma crueldade com os trabalhadores do nosso País.

Sobre o projeto, o senhor disse que ele não tem nada a ver com arrecadação, mas o projeto taxa o trabalhador, o projeto taxa os aplicativos. Lembro que, no aplicativo, é o motorista quem cuida de todo o negócio dele.",CAPITÃO ALBERTO NETO,38536,45256,true
3,2,2,1,Capitão Alberto Neto,"Apoio à melhoria do projeto, mas contra a sua extinção.",NORMALIZED_EXACT_MATCH,1,1,39547,40125,"É isto que estamos dizendo:""Este dinheiro é seu, e nós temos uma maneira esperta de você pagar juros menores ou você pode receber este dinheiro no seu aniversário e usar como melhor lhe convier"".

Se nós precisamos melhorar o projeto, o senhor tem o meu apoio. O senhor falou sobre 2 anos. Acho que podemos discutir isso e trazer uma viabilidade para que ele possa sacar o restante, porque, volto a dizer, o dinheiro é do trabalhador, e o recurso tem só aumentado no nosso fundo.

Deixo aqui o meu apelo para que o senhor abandone este projeto de acabar com o Saque-Aniversário.",CAPITÃO ALBERTO NETO,38536,45256,true
3,2,2,2,Capitão Alberto Neto,"Apoio à melhoria do projeto, mas contra a sua extinção.",NO_MATCH,0,0,,,,,,,unknown
3,2,2,3,Capitão Alberto Neto,"Apoio à melhoria do projeto, mas contra a sua extinção.",NORMALIZED_EXACT_MATCH,1,1,38153,38414,"Então, desde a criação do Saque-Aniversário, o fundo aumentou 14,3%. Nós não estamos, com o Saque-Aniversário, prejudicando o fundo. Se o fundo serve para saneamento básico, moradia...

Presidente, peço a V.Exa. que acrescente ao meu tempo o tempo de Liderança.",CAPITÃO ALBERTO NETO,35621,38416,true
3,2,3,0,Capitão Alberto Neto,"Preocupação com o impacto da regulamentação sobre motoristas de aplicativo, especialmente sobre a criação de sindicatos e piso para hora trabalhada.",NORMALIZED_EXACT_MATCH,1,1,40671,41350,"Quantos motoristas de aplicativo já perderam a vida no seu trabalho, um trabalho altamente perigoso?

Eu não estou aqui dizendo que nós não precisamos aprimorar o aplicativo. Agora, o projeto veio com alguns pontos: primeiro, criação de sindicato; segundo, criação de um piso para a hora trabalhada, no valor de 32 reais.

Quando eu vou estudar a hora trabalhada em alguns Municípios, vejo Palmas pagar pela hora trabalhada 50 reais; São Paulo paga, pela hora trabalhada, em média 46 reais. Em Rondônia, por exemplo, pagam-se 29 reais, realmente, porque lá eles utilizam um aplicativo regional chamado Urbano Norte, que é um negócio diferente do Uber, um negócio diferente da 99.",CAPITÃO ALBERTO NETO,38536,45256,true
3,2,3,1,Capitão Alberto Neto,"Preocupação com o impacto da regulamentação sobre motoristas de aplicativo, especialmente sobre a criação de sindicatos e piso para hora trabalhada.",NORMALIZED_EXACT_MATCH,1,1,44007,44532,"Então, cada vez mais, surgem mais motoristas. Agora, se a corrida estiver muito cara, as pessoas vão deixar de utilizar o aplicativo e vão voltar a usar o transporte público, só que o transporte público é de péssima qualidade.

Ministro, parabéns pela humildade em retirar a urgência! Eu acho que nós podemos aprimorar este projeto aqui na Casa e procurar trazer esse ambiente de negócio saudável para o sistema de aplicativo. Eu lembro que, se você está taxando uma categoria, ela vai perder concorrência com outros setores.",CAPITÃO ALBERTO NETO,38536,45256,true
3,2,3,2,Capitão Alberto Neto,"Preocupação com o impacto da regulamentação sobre motoristas de aplicativo, especialmente sobre a criação de sindicatos e piso para hora trabalhada.",EXACT_MATCH,1,1,40406,40772,"Lembro que, no aplicativo, é o motorista quem cuida de todo o negócio dele. Ele tem que comprar o carro; muitas vezes ele aluga o carro; ele tem que fazer a manutenção do carro; ele tem que colocar o combustível no carro; ele tem que fazer a sua própria segurança. Quantos motoristas de aplicativo já perderam a vida no seu trabalho, um trabalho altamente perigoso?
",CAPITÃO ALBERTO NETO,38536,45256,true
3,2,3,3,Capitão Alberto Neto,"Preocupação com o impacto da regulamentação sobre motoristas de aplicativo, especialmente sobre a criação de sindicatos e piso para hora trabalhada.",NORMALIZED_EXACT_MATCH,1,1,41993,42569,"Se a corrida fica mais cara, isso precariza o sistema de aplicativo, e ele perde concorrência. Se fica mais cara, menos pessoas utilizam o sistema de aplicativo. Se menos pessoas utilizam o aplicativo, são menos trabalhadores, são menos motoristas, e é mais desemprego no nosso País.

Não podemos construir um projeto para criar desemprego. Ministro do Trabalho, o senhor não pode trazer um projeto para esta Casa que vai ocasionar desemprego —se o preço da corrida aumentar, naturalmente menos pessoas vão utilizar o serviço, e menos motoristas vão trabalhar nos aplicativos.",CAPITÃO ALBERTO NETO,38536,45256,true
3,2,4,0,Capitão Alberto Neto,Defende um ambiente de negócios saudável e questiona a competitividade dos aplicativos com táxis.,NORMALIZED_EXACT_MATCH,1,1,44007,44532,"Então, cada vez mais, surgem mais motoristas. Agora, se a corrida estiver muito cara, as pessoas vão deixar de utilizar o aplicativo e vão voltar a usar o transporte público, só que o transporte público é de péssima qualidade.

Ministro, parabéns pela humildade em retirar a urgência! Eu acho que nós podemos aprimorar este projeto aqui na Casa e procurar trazer esse ambiente de negócio saudável para o sistema de aplicativo. Eu lembro que, se você está taxando uma categoria, ela vai perder concorrência com outros setores.",CAPITÃO ALBERTO NETO,38536,45256,true
3,2,4,1,Capitão Alberto Neto,Defende um ambiente de negócios saudável e questiona a competitividade dos aplicativos com táxis.,EXACT_MATCH,1,1,44434,44818,"Eu lembro que, se você está taxando uma categoria, ela vai perder concorrência com outros setores. Por exemplo, o táxi. O táxi hoje, em São Paulo, tem corredores. Às vezes, eu prefiro usar o táxi a usar o aplicativo, porque, na pressa, você acaba sendo mais rápido no trânsito, você tem facilidades. E o taxista consegue comprar um carro com incentivos do IPI, que nós aprovamos aqui.",CAPITÃO ALBERTO NETO,38536,45256,true
3,2,4,2,Capitão Alberto Neto,Defende um ambiente de negócios saudável e questiona a competitividade dos aplicativos com táxis.,NORMALIZED_EXACT_MATCH,1,1,44734,45254,"E o taxista consegue comprar um carro com incentivos do IPI, que nós aprovamos aqui. Agora, se eu vou taxar o motorista de aplicativo, se vou tirar a competitividade dele, qual a contrapartida que ele vai ter em relação à sua concorrência?

Se formos taxar, vamos pensar nos motoristas, vamos dar incentivos a eles para que possam melhorar seu negócio, comprar um carro melhor, ter condições de fazer negociações das suas peças, do seu trabalho em si, do seu mister.

São essas as ponderações, Ministro.

Muito obrigado.",CAPITÃO ALBERTO NETO,38536,45256,true
3,2,4,3,Capitão Alberto Neto,Defende um ambiente de negócios saudável e questiona a competitividade dos aplicativos com táxis.,NO_MATCH,0,0,,,,,,,unknown
3,3,0,0,Alexandre Lindenmeyer,Celebra a recriação do Ministério do Trabalho e Emprego.,NORMALIZED_EXACT_MATCH,1,1,47168,47757,"Antes de fazer referência a elas, eu diria que temos que comemorar o fato de que, por meio do Governo Lula, nós voltamos a ter o Ministério do Trabalho e Emprego, que, antes, havia sido colocado na condição de mera Secretaria. Eu não vou aqui nominar todas as ações — são dezenas de ações —, mas algumas que, do meu ponto de vista, são relevantes.

Uma é o volume de ações de combate ao trabalho escravo e ao trabalho infantil, que V.Exa. mencionou com muita pertinência. Também a ação do Governo no sentido da diminuição do número de desempregados neste País: 1 milhão e meio de empregos.",ALEXANDRE LINDENMEYER,46740,51608,true
3,3,0,1,Alexandre Lindenmeyer,Celebra a recriação do Ministério do Trabalho e Emprego.,NO_MATCH,0,0,,,,,,,unknown
