pair_id,actor_id,actor_name,hearing_id_earlier,hearing_id_later,publication_date_earlier,publication_date_later,delta_publication_days,topic_earlier,topic_later,tfidf_similarity,similarity_stratum,temporal_stratum,actor_in_gold_pilot,pilot_excluded,eligible_for_expansion,exclusion_reason
9b028d8dc263fd18,gianna sagazio,Gianna Sagazio,197,184,2023-08-09,2023-08-30,21,Revisão do Marco Legal da Inovação para facilitar sua operacionalização,"Discussão sobre mudanças na Lei do Bem para facilitar a colaboração entre universidades, empresas e governo e promover inovações",0.12156,LOW,SHORT,false,false,true,
982501e57fbbcdcc,gilson daniel,Gilson Daniel,118,107,2023-12-12,2024-04-10,120,Impacto dos desastres climáticos no Brasil em 2023 e medidas de prevenção e resposta,Melhorias na infraestrutura de prevenção a desastres e calamidades naturais,0.263901,MEDIUM,MEDIUM,true,false,true,
06f6bf71ce0746e2,gilson daniel,Gilson Daniel,118,113,2023-12-12,2024-03-20,99,Impacto dos desastres climáticos no Brasil em 2023 e medidas de prevenção e resposta,Ações de prevenção de desastres naturais e auxílio à população detalhadas por ministérios na Câmara dos Deputados,0.210802,MEDIUM,MEDIUM,true,false,true,
892d7d3a6e934091,jorge solla,Jorge Solla,15,129,2023-11-08,2023-11-28,20,Obrigatoriedade da vacinação contra Covid-19 em crianças de 6 meses a 5 anos a partir de 2024,Debate sobre a vacinação de crianças contra Covid-19,0.566205,HIGH,SHORT,true,false,true,
90a4cc8b19325243,jorge solla,Jorge Solla,140,129,2023-11-07,2023-11-28,21,"Lições da pandemia e providências para futuras emergências sanitárias, com foco na vacinação e combate à desinformação",Debate sobre a vacinação de crianças contra Covid-19,0.14767,LOW,SHORT,true,false,true,
3f649c16713f4c6f,leda borges,Lêda Borges,165,154,2023-09-20,2023-10-06,16,Discussão sobre a Lei de Diretrizes Orçamentárias (LDO) de 2024 e suas implicações para o déficit fiscal e políticas voltadas para mulheres,Políticas públicas voltadas para mulheres no climatério e menopausa,0.286378,MEDIUM,SHORT,true,false,true,
a9bdcddb335a5a07,leda borges,Lêda Borges,203,165,2023-08-02,2023-09-20,49,Aumento da violência contra mulheres devido ao desmonte de políticas públicas e ascensão do ultraconservadorismo,Discussão sobre a Lei de Diretrizes Orçamentárias (LDO) de 2024 e suas implicações para o déficit fiscal e políticas voltadas para mulheres,0.116107,LOW,MEDIUM,true,false,true,
379d85fc73b5d187,luizianne lins,Luizianne Lins,187,26,2023-08-24,2023-12-14,112,Discussão sobre o Estatuto do Povo Cigano e a inclusão dos ciganos em políticas públicas e no Censo demográfico brasileiro,Inclusão da economia do cuidado no cálculo do PIB,0.104779,LOW,MEDIUM,false,false,true,
e13d509a937ffa5f,marcelo de souza do nascimento,Marcelo de Souza do Nascimento,73,192,2022-07-13,2023-08-16,399,Debate sobre critérios mais acessíveis nos contratos de seguro de vida para idosos,Redução da vida útil de celulares e obsolescência programada,0.146567,LOW,LONG,false,false,true,
3d382d16e23d6fe6,mercedes bustamante,Mercedes Bustamante,188,168,2023-08-24,2023-09-15,22,Disparidade de gênero na pós-graduação em ciências exatas e tecnológicas e financiamento menor para mulheres,Melhoria das condições da pós-graduação no Brasil,0.301655,HIGH,SHORT,false,false,true,
597ab529d9e58c55,nisia trindade,Nísia Trindade,199,171,2023-08-09,2023-09-13,35,Autossuficiência na produção de insumos para a saúde e questões relacionadas à compra emergencial de medicamentos pelo SUS,"Esclarecimentos da ministra da Saúde, Nísia Trindade, sobre polêmicas e investimentos do novo PAC na Saúde",0.112892,LOW,MEDIUM,false,false,true,
87fa10a79fe070e0,padre joao,Padre João,59,13,2023-04-18,2023-12-20,246,Reparação aos pescadores afetados pelo rompimento da barragem do Fundão em Mariana (MG) em 2015,Cobrança à Justiça para destravar a renegociação com mineradoras sobre reparação em Mariana,0.250473,MEDIUM,LONG,false,false,true,
e8fa709c49d4cf21,padre joao,Padre João,199,146,2023-08-09,2023-10-25,77,Autossuficiência na produção de insumos para a saúde e questões relacionadas à compra emergencial de medicamentos pelo SUS,Liberação da produção de Cannabis para fins medicinais,0.125608,LOW,MEDIUM,false,false,true,
ffe531755c6def2e,paulo xavier,Paulo Xavier,112,87,2024-03-21,2024-04-25,35,Regulamentação do trabalho de motoristas de aplicativo,Regulamentação do trabalho de motoristas de aplicativo,1.0,HIGH,MEDIUM,false,false,true,
7d09d414bbbcee5f,priscila costa,Priscila Costa,199,171,2023-08-09,2023-09-13,35,Autossuficiência na produção de insumos para a saúde e questões relacionadas à compra emergencial de medicamentos pelo SUS,"Esclarecimentos da ministra da Saúde, Nísia Trindade, sobre polêmicas e investimentos do novo PAC na Saúde",0.112892,LOW,MEDIUM,false,false,true,
6a7b7af41cec3ff3,prof paulo fernando,Prof. Paulo Fernando,142,137,2023-10-30,2023-11-08,9,Regulamentação do empréstimo consignado para servidores públicos,Debate sobre a possibilidade de professores da rede pública terem dois cargos públicos em áreas diferentes,0.132347,LOW,SHORT,false,false,true,
f8189fa4faeb557c,ricardo galvao,Ricardo Galvão,197,184,2023-08-09,2023-08-30,21,Revisão do Marco Legal da Inovação para facilitar sua operacionalização,"Discussão sobre mudanças na Lei do Bem para facilitar a colaboração entre universidades, empresas e governo e promover inovações",0.12156,LOW,SHORT,false,false,true,
99ca50f2ecb70ba4,rodrigo agostinho,Rodrigo Agostinho,44,183,2023-05-31,2023-08-30,91,"Exploração de petróleo na Margem Equatorial, próxima à foz do Rio Amazonas",Veto do Ibama à licença para Petrobras perfurar na Foz do Amazonas e outras questões ambientais,0.212262,MEDIUM,MEDIUM,false,false,true,
57626a6d567bbd22,rodrigo agostinho,Rodrigo Agostinho,70,183,2022-08-03,2023-08-30,392,"Críticas à instalação de termelétricas flutuantes na Baía de Sepetiba, RJ, sem estudos ambientais",Veto do Ibama à licença para Petrobras perfurar na Foz do Amazonas e outras questões ambientais,0.101503,LOW,LONG,false,false,true,
406f53bbc7b4086a,roselene alves,Roselene Alves,94,5,2023-06-28,2024-04-09,286,Garantia de oportunidades e respeito às singularidades das pessoas autistas,Cumprimento dos direitos das pessoas com autismo,0.164523,MEDIUM,LONG,false,false,true,
b4a84fb6380ec371,suelaine carneiro,Suelaine Carneiro,170,163,2023-06-29,2023-09-22,85,Denúncia do racismo na primeira infância debatida na Comissão de Direitos Humanos da Câmara dos Deputados,Discussão sobre a educação de meninas e mulheres negras na Câmara dos Deputados,0.201669,MEDIUM,MEDIUM,false,false,true,
8034e650e53050e1,tarcisio motta,Tarcísio Motta,118,115,2023-12-12,2024-03-05,84,Impacto dos desastres climáticos no Brasil em 2023 e medidas de prevenção e resposta,Colapso climático e medidas urgentes para enfrentá-lo,0.10148,LOW,MEDIUM,false,false,true,
8c2dfcbfad142a02,vanessa negrini,Vanessa Negrini,95,191,2023-06-28,2023-08-17,50,Segurança sanitária e sustentabilidade na produção de alimentos de origem animal,Ações de bem-estar animal e seus benefícios para o Brasil,0.159086,MEDIUM,MEDIUM,false,false,true,
d336204af6200b5c,vanessa pirolo,Vanessa Pirolo,68,105,2022-08-17,2024-04-11,603,Falhas no protocolo do SUS para o tratamento da retinopatia diabética,Atualização do protocolo de tratamento de edema macular diabético no SUS,0.389679,HIGH,LONG,false,false,true,
6f4c69138a2e803b,alexandre da silva,Alexandre da Silva,41,155,2023-06-28,2023-10-05,99,Aprovação da Convenção Interamericana sobre a Proteção dos Direitos Humanos dos Idosos,Consolidação de políticas públicas para idosos no contexto dos 20 anos do Estatuto do Idoso,0.104432,LOW,MEDIUM,true,false,false,actor_cap_exceeded
479f1ea8be8ac8d6,erika kokay,Erika Kokay,94,5,2023-06-28,2024-04-09,286,Garantia de oportunidades e respeito às singularidades das pessoas autistas,Cumprimento dos direitos das pessoas com autismo,0.164523,MEDIUM,LONG,true,false,false,actor_cap_exceeded
4138b564973f30ab,erika kokay,Erika Kokay,200,190,2023-08-08,2023-08-23,15,Apoio ao Projeto de Lei 1673/21 que institui a Política Nacional de Saúde Funcional,Falta de apoio a pesquisas clínicas sobre doenças raras no Brasil,0.132304,LOW,SHORT,true,false,false,actor_cap_exceeded
aa97da69739fc668,erika kokay,Erika Kokay,53,94,2023-05-17,2023-06-28,42,Participação de pessoas com deficiência nos projetos culturais para garantir inclusão,Garantia de oportunidades e respeito às singularidades das pessoas autistas,0.125822,LOW,MEDIUM,true,false,false,actor_cap_exceeded
1413f6cff57a0a2f,erika kokay,Erika Kokay,82,53,2022-06-27,2023-05-17,324,Aprovação de projetos de lei que valorizam os mestres dos saberes e fazeres populares na cultura brasileira,Participação de pessoas com deficiência nos projetos culturais para garantir inclusão,0.113504,LOW,LONG,true,false,false,actor_cap_exceeded
c63cbdaacb40779d,gilson daniel,Gilson Daniel,118,115,2023-12-12,2024-03-05,84,Impacto dos desastres climáticos no Brasil em 2023 e medidas de prevenção e resposta,Colapso climático e medidas urgentes para enfrentá-lo,0.10148,LOW,MEDIUM,true,false,false,actor_cap_exceeded
d4e87de87b4f3431,adriana ventura,Adriana Ventura,199,16,2023-08-09,2023-12-05,118,Autossuficiência na produção de insumos para a saúde e questões relacionadas à compra emergencial de medicamentos pelo SUS,Debate sobre denúncias envolvendo o custeio de viagem de Luciane Barbosa Farias e questões relacionadas aos direitos humanos,0.172702,,,true,true,false,gold_pilot
263f772b51bf1354,alexandre da silva,Alexandre da Silva,149,110,2023-10-19,2024-04-09,173,Mudança demográfica e a necessidade de reestruturação do Estado para atender ao envelhecimento da população brasileira,Prioridade para a agenda do envelhecimento saudável no G20,0.142105,,,true,true,false,gold_pilot
8f79764e69daadf2,alexandre lindenmeyer,Alexandre Lindenmeyer,149,110,2023-10-19,2024-04-09,173,Mudança demográfica e a necessidade de reestruturação do Estado para atender ao envelhecimento da população brasileira,Prioridade para a agenda do envelhecimento saudável no G20,0.142105,,,true,true,false,gold_pilot
0138e27cd0f53d95,aliel machado,Aliel Machado,41,155,2023-06-28,2023-10-05,99,Aprovação da Convenção Interamericana sobre a Proteção dos Direitos Humanos dos Idosos,Consolidação de políticas públicas para idosos no contexto dos 20 anos do Estatuto do Idoso,0.104432,,,true,true,false,gold_pilot
af4d70f0c140e9c9,ana paula lima,Ana Paula Lima,57,30,2023-04-20,2023-11-21,215,Discussão sobre a eficácia de guardas armados e medidas de segurança nas escolas para combater a violência,Inclusão de emendas na LDO para combater violência contra crianças e adolescentes,0.197176,,,true,true,false,gold_pilot
2e42e8583aea6939,antonio brito,Antonio Brito,123,114,2023-12-05,2024-03-19,105,Aumento de orçamento para combater a tuberculose no Brasil,Estratégias para a erradicação da tuberculose no Brasil até 2030,0.279901,,,true,true,false,gold_pilot
24c599750bdd544f,any ortiz,Any Ortiz,195,189,2023-08-10,2023-08-24,14,Regulamentação dos mercados digitais no Brasil,Mudanças no projeto de regulamentação dos mercados digitais (PL 2768/22),0.651838,,,true,true,false,gold_pilot
d4c07b40fb424a0c,bia kicis,Bia Kicis,15,129,2023-11-08,2023-11-28,20,Obrigatoriedade da vacinação contra Covid-19 em crianças de 6 meses a 5 anos a partir de 2024,Debate sobre a vacinação de crianças contra Covid-19,0.566205,,,true,true,false,gold_pilot
3459768d16f576e5,capitao alberto neto,Capitão Alberto Neto,3,10,2024-04-17,2024-04-26,9,Discussão sobre a substituição do saque-aniversário do FGTS por uma nova modalidade de crédito consignado,Substituição do saque-aniversário do FGTS por empréstimo consignado com juros mais baixos,0.547672,,,true,true,false,gold_pilot
36fb1e1240a12ac4,celia xakriaba,Célia Xakriabá,139,136,2023-11-07,2023-11-09,2,Racismo e preconceito contra indígenas no sistema prisional brasileiro e a proposta de uma lei prisional específica para indígenas,Aprovação do Projeto de Lei 4347/21 para tornar permanente a Política Nacional de Gestão Territorial e Ambiental das Terras Indígenas,0.149684,,,true,true,false,gold_pilot
2a22c99d1d3a678c,dr zacharias calil,Dr. Zacharias Calil,68,105,2022-08-17,2024-04-11,603,Falhas no protocolo do SUS para o tratamento da retinopatia diabética,Atualização do protocolo de tratamento de edema macular diabético no SUS,0.389679,,,true,true,false,gold_pilot
ebcdef50abd4418f,erika kokay,Érika Kokay,89,85,2022-05-26,2023-06-29,399,Políticas públicas de proteção às mulheres e crianças indígenas,Dificuldades na implantação de políticas públicas para a população LGBTQIA+,0.240448,,,true,true,false,gold_pilot
d3769de977ace19d,gilson daniel,Gilson Daniel,113,107,2024-03-20,2024-04-10,21,Ações de prevenção de desastres naturais e auxílio à população detalhadas por ministérios na Câmara dos Deputados,Melhorias na infraestrutura de prevenção a desastres e calamidades naturais,0.359324,,,true,true,false,gold_pilot
36e4b11ff6345a11,jorge solla,Jorge Solla,199,16,2023-08-09,2023-12-05,118,Autossuficiência na produção de insumos para a saúde e questões relacionadas à compra emergencial de medicamentos pelo SUS,Debate sobre denúncias envolvendo o custeio de viagem de Luciane Barbosa Farias e questões relacionadas aos direitos humanos,0.172702,,,true,true,false,gold_pilot
4cffd4e8a3906c01,lafayette de andrada,Lafayette de Andrada,17,104,2023-12-06,2024-04-16,132,Debate sobre ativismo judicial na Câmara dos Deputados,Participação da Câmara na definição das regras de renovação das concessões das distribuidoras de energia elétrica,0.114424,,,true,true,false,gold_pilot
de54c782d361768c,leda borges,Lêda Borges,203,154,2023-08-02,2023-10-06,65,Aumento da violência contra mulheres devido ao desmonte de políticas públicas e ascensão do ultraconservadorismo,Políticas públicas voltadas para mulheres no climatério e menopausa,0.256197,,,true,true,false,gold_pilot
e001ebac1d8033f1,leo prates,Leo Prates,118,113,2023-12-12,2024-03-20,99,Impacto dos desastres climáticos no Brasil em 2023 e medidas de prevenção e resposta,Ações de prevenção de desastres naturais e auxílio à população detalhadas por ministérios na Câmara dos Deputados,0.210802,,,true,true,false,gold_pilot
e6a308550846aa5f,leonidas cristino,Leônidas Cristino,134,23,2023-11-13,2024-04-23,162,Descarbonização do setor de combustíveis e transição energética sustentável,Medidas para incentivar o uso do biometano na matriz energética brasileira,0.133655,,,true,true,false,gold_pilot
