pair_id,side,source_record_id,event_confirmed,date_confirmed,actor_confirmed,speech_confirmed,evidence_confirmed,reviewer_confidence,reviewer_notes,reviewer
d4c07b40fb424a0c,a,15,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Span confirma crítica à obrigação; crítica à politização aparece em outra parte do turno.",Codex second documentary pass; not an independent human
d4c07b40fb424a0c,b,129,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
0138e27cd0f53d95,a,41,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
0138e27cd0f53d95,b,155,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
2e42e8583aea6939,a,123,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
2e42e8583aea6939,b,114,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
3459768d16f576e5,a,3,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
3459768d16f576e5,b,10,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
2a22c99d1d3a678c,a,68,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
2a22c99d1d3a678c,b,105,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
ebcdef50abd4418f,a,89,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
ebcdef50abd4418f,b,85,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
d3769de977ace19d,a,113,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
d3769de977ace19d,b,107,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
36fb1e1240a12ac4,a,139,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
36fb1e1240a12ac4,b,136,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
36e4b11ff6345a11,a,199,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
36e4b11ff6345a11,b,16,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
3d382d16e23d6fe6,a,188,true,true,true,true,false,HIGH,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Resumo atribui 54% ao pós-doutorado e 38% ao doutorado; o turno não informa 38% e usa 54% para cargos/funções na CAPES. Trecho selecionado só confirma 42%.",Codex second documentary pass; not an independent human
3d382d16e23d6fe6,b,168,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
de54c782d361768c,a,203,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Span confirma independência econômica; medidas de acolhimento e mercado de trabalho aparecem em outras partes do mesmo turno.",Codex second documentary pass; not an independent human
de54c782d361768c,b,154,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
4cffd4e8a3906c01,a,17,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
4cffd4e8a3906c01,b,104,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
e001ebac1d8033f1,a,118,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
e001ebac1d8033f1,b,113,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
e6a308550846aa5f,a,134,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Span confirma defesa de marco regulatório; abertura do resumo sobre consenso é interpretação mais ampla.",Codex second documentary pass; not an independent human
e6a308550846aa5f,b,23,true,true,true,true,true,MEDIUM,"Assunto e descrição oficial confrontados; data, marcador e offsets reconstituídos na fonte. Trecho e contexto do turno sustentam a manifestação central do resumo LDS.",Codex second documentary pass; not an independent human
